250,32447499546,Sarah Pierce,1000,0
251,57825568244,Patrick Webster,1000,0
252,92152228716,Angela Smith,1200,0
253,45128233726,Austin Williams,1200,0
254,58862446451,Brandon Jackson,1000,1
255,31284826999,Tonya Brown,1000,1
256,61556779169,Christopher Coleman,1000,0
257,24279159363,Debra Parker,1200,0
258,27859645338,Kayla Malone,900,0
259,17733677474,Paul Valdez,1000,0
260,35454989571,April Velazquez,1000,0
261,47296873978,Andrea Wong,900,0
262,88641774953,Justin White,900,0
263,87536922834,Derek Shepherd,1000,1
264,41332279185,Rachel Greer,1200,0
265,22116859328,Eric Marsh,1200,0
266,58967141121,Amanda Bates,1200,1
267,45278551667,Destiny Smith,1200,0
268,22989772355,Melissa Patel,900,0
269,96547516833,Colton Rush,900,1
270,89749355451,Michael Gaines,1000,1
271,61461961745,Tracy Wilson,1200,1
272,31422443648,Jesus Rose,900,1
273,65245483862,John Greene,1000,0
274,58593157353,Andre Brewer,1200,1
275,37587464728,Tammy Steele,1200,1
276,38224841765,Cynthia Ramsey,1200,1
277,29687129825,Nathan Sexton,1000,0
278,36992515622,Andrea Mccall,1200,0
279,43147543131,Dawn Rios,900,0
280,46976725341,Emily Rivera,1200,0
281,81783816375,Claudia Kaiser,1000,0
282,39299297629,Brooke Young,1000,1
283,71768655687,Tara Phillips,900,0
284,86341312633,Angelica Potts,1000,1
285,68189248435,Erin Moore,1200,1
286,61734554351,Julia Silva,1000,1
287,38581515389,Kerry Patton,900,0
288,92472133713,Michelle Thomas,900,1
289,74419226545,James Wallace,1200,0
290,99983635823,Stephen Kane,1000,1
291,25924985542,Joseph Oneal,900,0
292,11489553399,Emily Chavez,1000,1
293,98314215684,Francisco Morris,1200,0
294,42947693181,Donald Phillips,900,0
295,63472681142,Elizabeth Shields,1000,1
296,63871999566,Jay Reese,1000,1
297,76419466922,Matthew Hines,1000,1
298,35562194562,John Pearson,900,1
299,48212998844,Anna Nguyen,900,1
300,58217662818,Belinda Hopkins,1200,0
301,14527254998,Mary Atkinson,1000,1
302,15931434964,David Black,900,1
303,27472256717,Dr. Jamie Briggs,1200,1
304,86229682146,Anne Marquez,1000,1
305,46548965983,Nicole Fuller,900,0
306,45725235451,Veronica Hall DDS,1000,0
307,26466788243,Harold Carroll,1200,0
308,54163731632,Alice Reed,1200,1
309,92598189433,Patrick Smith,1000,0
310,57944987464,Mary Estrada,1200,1
311,28821712295,Carla Levy,1000,0
312,71378562315,Dana Tran,1000,0
