0,1,2016,January,2016-1-1
1,1,2016,January,2016-1-2
2,1,2016,January,2016-1-3
3,1,2016,January,2016-1-4
4,1,2016,January,2016-1-5
5,1,2016,January,2016-1-6
6,1,2016,January,2016-1-7
7,1,2016,January,2016-1-8
8,1,2016,January,2016-1-9
9,1,2016,January,2016-1-10
10,1,2016,January,2016-1-11
11,1,2016,January,2016-1-12
12,1,2016,January,2016-1-13
13,1,2016,January,2016-1-14
14,1,2016,January,2016-1-15
15,1,2016,January,2016-1-16
16,1,2016,January,2016-1-17
17,1,2016,January,2016-1-18
18,1,2016,January,2016-1-19
19,1,2016,January,2016-1-20
20,1,2016,January,2016-1-21
21,1,2016,January,2016-1-22
22,1,2016,January,2016-1-23
23,1,2016,January,2016-1-24
24,1,2016,January,2016-1-25
25,1,2016,January,2016-1-26
26,1,2016,January,2016-1-27
27,1,2016,January,2016-1-28
28,1,2016,January,2016-1-29
29,1,2016,January,2016-1-30
30,1,2016,February,2016-2-1
31,1,2016,February,2016-2-2
32,1,2016,February,2016-2-3
33,1,2016,February,2016-2-4
34,1,2016,February,2016-2-5
35,1,2016,February,2016-2-6
36,1,2016,February,2016-2-7
37,1,2016,February,2016-2-8
38,1,2016,February,2016-2-9
39,1,2016,February,2016-2-10
40,1,2016,February,2016-2-11
41,1,2016,February,2016-2-12
42,1,2016,February,2016-2-13
43,1,2016,February,2016-2-14
44,1,2016,February,2016-2-15
45,1,2016,February,2016-2-16
46,1,2016,February,2016-2-17
47,1,2016,February,2016-2-18
48,1,2016,February,2016-2-19
49,1,2016,February,2016-2-20
50,1,2016,February,2016-2-21
51,1,2016,February,2016-2-22
52,1,2016,February,2016-2-23
53,1,2016,February,2016-2-24
54,1,2016,February,2016-2-25
55,1,2016,February,2016-2-26
56,1,2016,February,2016-2-27
57,1,2016,February,2016-2-28
58,1,2016,February,2016-2-29
59,1,2016,February,2016-2-30
60,1,2016,March,2016-3-1
61,1,2016,March,2016-3-2
62,1,2016,March,2016-3-3
63,1,2016,March,2016-3-4
